Team,Games Played,Total Wins,Total Losses,Total Ties,Home Wins,Home Losses,Home Ties,Away Wins,Away Losses,Away Ties,Points For,Points Against,Average Margin,Total game points per game
Patriots,40,26,13,1,8,6,0,15,7,1,32.1,27.9,4.2,60
Steelers,34,18,15,1,9,9,1,9,5,0,30.2,28.2,2,58.4
Cowboys,34,23,11,0,8,6,0,15,5,0,32.5,24.2,8.3,56.7
Packers,30,19,11,0,6,6,0,13,5,0,31.3,29,2.3,60.3
49ers,30,20,10,0,9,5,0,8,4,0,31.7,24.5,7.2,56.2
Saints,28,18,10,0,7,6,0,9,3,0,33.3,28,5.3,61.3
Ravens,28,13,15,0,7,8,0,6,6,0,28.7,28.8,-0.1,57.5
Seahawks,28,21,7,0,10,3,0,11,3,0,30.5,24,6.5,54.5
Chargers,27,15,12,0,7,4,0,7,6,0,30.9,31,-0.1,61.9
Chiefs,26,13,13,0,4,8,0,9,4,0,36,35.7,0.3,71.7
Eagles,26,15,11,0,8,6,0,6,5,0,30.4,26.2,4.2,56.6
Falcons,25,9,16,0,3,11,0,5,5,0,24.8,27.6,-2.8,52.4
Bears,25,13,12,0,5,6,0,8,4,0,26.3,23.4,2.9,49.7
Buccaneers,23,10,13,0,3,8,0,7,5,0,27,30.1,-3.1,57.1
Rams,23,10,13,0,4,5,0,6,8,0,27,28.9,-1.9,55.9
Bills,22,6,16,0,3,10,0,3,6,0,21.1,29.6,-8.5,50.7
Broncos,21,11,10,0,6,4,0,5,5,0,27.3,30.8,-3.5,58.1
Giants,21,5,16,0,2,12,0,3,4,0,23.4,33.1,-9.7,56.5
Colts,21,10,11,0,3,8,0,7,3,0,26.8,28.3,-1.5,55.1
Vikings,21,16,5,0,8,4,0,8,1,0,30.8,24.2,6.6,55
Cardinals,21,8,13,0,3,9,0,5,4,0,23,23.9,-0.9,46.9
Raiders,19,4,15,0,3,9,0,1,6,0,29.6,36.1,-6.5,65.7
Texans,19,8,11,0,5,5,0,3,6,0,27.7,29.3,-1.6,57
Redskins,19,7,12,0,5,6,0,2,6,0,23.3,30.6,-7.3,53.9
Browns,18,7,11,0,4,5,0,3,6,0,24.5,29.5,-5,54
Jets,18,9,9,0,5,5,0,4,4,0,27,25,2,52
Lions,17,8,9,0,5,3,0,3,6,0,28.1,28.1,0,56.2
Titans,16,6,10,0,3,2,0,3,8,0,23,25.8,-2.8,48.8
Panthers,15,8,7,0,3,1,0,5,6,0,32.4,28.7,3.7,61.1
Dolphins,15,4,11,0,3,6,0,1,5,0,22.5,32.6,-10.1,55.1
Bengals,15,2,13,0,2,7,0,0,6,0,19.1,33.5,-14.4,52.6
Jaguars,15,7,8,0,2,3,0,5,5,0,24.2,27.5,-3.3,51.7